"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"291","@dialogCRM @JaneTHoye Kia Ora Jason - Koke is an experiment that’s part of our stated intent to provide fossil fuel… https://t.co/uIBn9lmTsi",FALSE,0,"dialogCRM",2020-01-29 19:47:01,TRUE,"1222420589593235456","1222607098485174272","37279091","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zenergynz",0,FALSE,FALSE,NA,NA
"292","We’re gearing up for a year of #sustainability action. Looking back to 2019, we had some highlights that challenged… https://t.co/mCyejy68i4",FALSE,1,NA,2020-01-08 01:45:29,TRUE,NA,"1214724775530172419",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"293","@AotearoanJames 2/2 it shows you the cheapest Z price within 30km and lets you price lock it in a virtual fuel tank… https://t.co/wg7imzXUWB",FALSE,0,"zenergynz",2020-01-06 02:59:38,TRUE,"1214018124846129154","1214018659083005952","236114503","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"294","@AotearoanJames 1/2 Hey there again @AotearoanJames. Quick fact check: we’re at 2.38 in Wgtn rn. We aren’t rorting… https://t.co/JXmdHShHeO",FALSE,0,NA,2020-01-06 02:57:30,TRUE,NA,"1214018124846129154",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"295","@IRCocytus @pointoforder We actually agree that the tipping point is coming and we need some strong policy directio… https://t.co/P45irlLDtv",FALSE,0,"IRCocytus",2020-01-06 01:56:49,TRUE,"1213680567989915648","1214002850050838529","188625412","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"296","@pointoforder @RussellClarkNZ Cheers. And you. Here’s some reading for you as requested- https://t.co/8N638IaNZf",FALSE,0,"pointoforder",2020-01-06 01:50:59,FALSE,"1213924607457030147","1214001384573587457","25962727","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"297","We <U+2764><U+FE0F> putting what customers <U+2764><U+FE0F> about us at the top of the pile. https://t.co/8v5hxu22rN",FALSE,0,NA,2020-01-06 01:47:11,FALSE,NA,"1214000426145763334",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"298","@pointoforder @RussellClarkNZ Thanks for your commentary. We won’t be price signaling as it’s unethical, but I’d be… https://t.co/uMD46aBUUO",FALSE,0,"pointoforder",2020-01-05 20:18:43,TRUE,"1213657606364942337","1213917766098522113","25962727","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"299","@AotearoanJames Kia ora James. I’m sure you’re not a chump. We don’t “smooth” prices. Our prices are hyper local &amp;… https://t.co/VFzyzdXM5i",FALSE,0,NA,2020-01-05 20:12:50,TRUE,NA,"1213916285450502144",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"300","@haydenshaw Kia ora Hayden, sorry to hear this. If you can please send us a direct message with the Z Station you t… https://t.co/a5WJpYVRNz",FALSE,0,"haydenshaw",2019-12-23 21:05:30,TRUE,"1209208640378302464","1209218495759732737","20949055","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"301","@x_chemicalism_x Kia ora, we are very sorry about the notifications we sent out early this morning. This was a tech… https://t.co/Tiu5agt1Gt",FALSE,0,"x_chemicalism_x",2019-12-18 21:03:17,TRUE,"1207285815060992000","1207405999281324033","38362659","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"302","Awesome to see @ASB_Classic has partnered with our mates at Trees That Count to help tennis fans contribute to comm… https://t.co/lOE9qUoIkZ",FALSE,9,NA,2019-12-18 07:21:32,TRUE,NA,"1207199199655280641",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",1,FALSE,FALSE,NA,NA
"303","@Tsinghy Kia Ora, we are sorry to hear this. This sounds like it might be a pre-authorsiation hold. Send us a direc… https://t.co/aDye6934e8",FALSE,0,"Tsinghy",2019-12-16 23:11:21,TRUE,"1206654264669429765","1206713453433573376","14292924","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"304","@musenz Kia Ora Robert, what an awesome artwork thank you for sharing, you are very talented! ^HM",FALSE,0,"musenz",2019-12-16 01:21:49,FALSE,"1206288141092409345","1206383896289562624","2236399189","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"305","We’ve put up our first price board displaying Premium prices today at Z Beach Rd in AKL <U+0001F60E>We’ll be rolling them out… https://t.co/RODATMfdFV",FALSE,6,NA,2019-12-13 00:19:34,TRUE,NA,"1205281067017687041",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"306","@Jon_Hassall Kia Ora Jon, we are very sorry that no one has got back to you. Can you please send us a direct messag… https://t.co/Y0DjakgRL0",FALSE,0,"Jon_Hassall",2019-12-11 02:31:16,TRUE,"1204587626344284160","1204589437923012608","89414046","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"307","Z supports swift action on proposed fuel market changes, read more of our thoughts on the Commerce Commission recom… https://t.co/jQvZNF4dXb",FALSE,1,NA,2019-12-05 00:05:42,TRUE,NA,"1202378475664900096",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","zenergynz",2,FALSE,FALSE,NA,NA
"308","@githinmg Hi, petrol prices vary from site to site for a number of reasons. In this case, Caltex service stations a… https://t.co/jFAzJ9ZO0E",FALSE,0,"githinmg",2019-12-05 00:00:34,TRUE,"1202363807655321600","1202377184264048641","58978259","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"309","@stevesmithnz Hi Steve, that is awesome to hear, thanks for sharing. ^HM",FALSE,1,"stevesmithnz",2019-12-01 21:51:44,FALSE,"1200572350502096901","1201257598823079939","33853572","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"310","@darronwills Hi there, our Super Pumped Days are planned well in advanced so we can notify our customers in time. O… https://t.co/SbUhe0N6QK",FALSE,0,"darronwills",2019-11-27 00:13:26,TRUE,"1199184824763764738","1199481318784094209","2519056026","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"311","This is a call Kiwi's... Do your bit; #beatidykiwi and dispose of your rubbish properly. We'll do our bit by provid… https://t.co/E8BFGPnslI",FALSE,4,NA,2019-11-26 03:48:44,TRUE,NA,"1199173113088315392",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","zenergynz",2,FALSE,FALSE,NA,NA
"312","@CarlElphick Hi Carl, we currently don't have any plans to but I have passed your suggestion onto our retail team. Thanks. ^HM",FALSE,1,"CarlElphick",2019-11-24 23:01:34,FALSE,"1197775902244950016","1198738458254200837","18274191","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"313","A huge THANK YOU to everyone who participated in Good in the Hood this year. Sarah Gibson, our Community Champion,… https://t.co/fpLwnmhFcx",FALSE,1,NA,2019-11-21 23:55:26,TRUE,NA,"1197664850781978626",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","zenergynz",0,FALSE,FALSE,NA,NA
