"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"43","@metamorhisnt Hi there, we're really sorry you had this experience at one of our sites but thank you for letting us… https://t.co/cbfQOTshsa",FALSE,0,"metamorhisnt",2022-11-18 17:56:19,TRUE,"1593582499824902145","1593664411260051456","1401916251744739332","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"44","@rossalwayswins Hi Ross, thanks for your question. For our Scope 3 emissions we're targeting a 20% reduction by 202… https://t.co/v0puCyGuQj",FALSE,0,"rossalwayswins",2022-11-11 13:38:34,TRUE,"1590570174734008321","1591062834103947265","1524421646","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"45","@NickRossTech Hi Nick, apologies for the inconvenience caused. Please private message us your email address linked… https://t.co/KatKUXUHsU",FALSE,1,"NickRossTech",2022-11-10 21:28:16,TRUE,"1590630461155729413","1590818649895751681","137892503","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"46","@bigacsdad Thanks for bringing this to our attention. While many of our retail sites are independently owned and op… https://t.co/CCkAGeSfGo",FALSE,0,"bigacsdad",2022-11-10 18:34:31,TRUE,"1590742235426918400","1590774923818979328","743593102745567232","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"47","@waltduro Please try the number again. We double-checked and everything is working on our end. Thanks.",FALSE,0,"waltduro",2022-11-09 16:59:01,FALSE,"1589687024688467969","1590388502008827905","69298559","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"48","@queen_keascher Hi Keascher, can you please confirm your location so we can best advise you?",FALSE,0,"queen_keascher",2022-11-04 11:59:38,FALSE,"1588470585503383552","1588501219076722688","1485888271058145283","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"49","Today we share our 3Q results. We continue to work hard to provide the oil &amp; gas the world needs now, while at the… https://t.co/Dt7Se9uS2K",FALSE,64,NA,2022-11-01 07:05:22,TRUE,NA,"1587340001414717440",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","bp_plc",17,FALSE,FALSE,NA,NA
"50","Today, our US bpx onshore team is connecting oilfield wells to the grid <U+26A1>. So far, they’ve electrified 80%, aiming… https://t.co/Z2pVb2QPEY",FALSE,21,NA,2022-10-26 08:05:16,TRUE,NA,"1585180751154368512",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","bp_plc",6,FALSE,FALSE,NA,NA
"51","@JaqParch Hi there, are you able to send us a DM with more information on this so that we can look into it?",FALSE,0,"JaqParch",2022-10-24 12:35:49,FALSE,"1583773997719691264","1584524061014515718","2258235397","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"52","@AlastairMellon Hi there, thanks for your question. Our analysis of primary energy demand includes the use of oil a… https://t.co/Lj5MkDz7AE",FALSE,0,"AlastairMellon",2022-10-19 11:17:06,TRUE,"1580594949938024448","1582692310722060288","1490654730279919616","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"53","We’ve just signed a $4bn deal to buy @Archaea_Energy, a leading US producer of RNG.
<U+0001F4AA> Boosting our bioenergy biz
<U+23E9>… https://t.co/QTMmRrWJPL",FALSE,60,NA,2022-10-17 11:32:35,TRUE,NA,"1581971432564822019",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","bp_plc",17,FALSE,FALSE,NA,NA
"54","Putting plans into action <U+0001F4AA><U+0001F3D7><U+FE0F>
Right now, we have vessels scanning the seabed to work out how to build some of the U… https://t.co/eZ2jG9jYst",FALSE,31,NA,2022-10-13 07:59:09,TRUE,NA,"1580468168685981699",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","bp_plc",10,FALSE,FALSE,NA,NA
"55","We're proud of our team collaborating with partners &amp; suppliers to safely deliver the Azeri Central East (ACE) oil… https://t.co/JvPzFC4pzO",FALSE,39,NA,2022-10-11 11:09:35,TRUE,NA,"1579791314048413696",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bp_plc",8,FALSE,FALSE,NA,NA
"56","@SimplyTdoTloks Hi there, thanks for your interest in our graduate programme. You can find all our careers opportun… https://t.co/gIpTLIqm0q",FALSE,1,"SimplyTdoTloks",2022-10-06 08:50:20,TRUE,"1577671339556716552","1577944334208573443","2953531929","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"57","@abboriginy Hi Michael, thanks for bringing this to our attention. Are you able to send us a DM with more informati… https://t.co/Xy61nFqUQd",FALSE,0,"abboriginy",2022-10-05 10:36:02,TRUE,"1577551808960004097","1577608546467938304","2869663671","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"58","We're excited to be teaming up with @Hertz to take the EV driving experience to the next level -  installing a nati… https://t.co/tFZm7Nk0ue",FALSE,28,NA,2022-09-27 14:25:09,TRUE,NA,"1574767102652817411",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bp_plc",7,FALSE,FALSE,NA,NA
"59","@GilesDiggle Hi, we recognise that more charging infrastructure is needed. The good news is that it is growing at p… https://t.co/tw4b9nMQzG",FALSE,0,"GilesDiggle",2022-09-27 10:58:16,TRUE,"1574047155001638912","1574715036647432192","227690881","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"60","@hosi_tsaki Hi Hosi, we suspect this to be recruitment fraud. Please do not provide any personal details. ^Ross",FALSE,0,"hosi_tsaki",2022-09-23 08:31:20,FALSE,"1572604765049356290","1573228511581687808","848582578114363392","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"61","We are deeply saddened by the passing of Her Majesty Queen Elizabeth II and profoundly grateful for her extraordina… https://t.co/pekDkhvgnO",FALSE,178,NA,2022-09-08 19:26:44,TRUE,NA,"1567957627421736961",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bp_plc",42,FALSE,FALSE,NA,NA
"62","We're making it more convenient &amp; simpler for you to plug in &amp; go<U+0001F50C> - accelerating the number of our bp pulse chargi… https://t.co/6I5qczov9C",FALSE,21,NA,2022-09-07 08:09:40,TRUE,NA,"1567424852935512065",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bp_plc",4,FALSE,FALSE,NA,NA
"63","Today’s the day! Our delegates and scholars are buzzing with excitement, and are ready to listen <U+0001F442>, learn<U+0001F9E0>&amp; collabo… https://t.co/JRzbCSo9m6",FALSE,26,NA,2022-09-05 08:18:25,TRUE,NA,"1566702278224084992",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bp_plc",6,FALSE,FALSE,NA,NA
